Tên trường,Tên tiếng Hàn,Địa chỉ & Khu vực,Xếp hạng (Ranking),Chuyên ngành tiêu biểu,Điều kiện tuyển sinh (GPA & Năm trống),Học phí hệ tiếng Hàn (D4-1),Học phí hệ D2-2,Học phí hệ D2-3,Chính sách học bổng,Thông tin Ký túc xá,Cơ hội việc làm thêm
ĐẠI HỌC AJOU,아주대학교,"206 Woldeukeom-ro, Woncheon-dong, Yeongtong-gu, Suwon, Gyeonggi-do, Hàn Quốc",20/200,"Kỹ thuật, IT, Truyền thông, Khoa học tự nhiên, Quản trị kinh doanh","D4-1: GPA >= 7.0, trống < 2 năm; D2: GPA >= 6.5, không giới hạn năm trống",1.500.000 KRW/kỳ,3.928.000 ~ 5.323.000 KRW/kỳ,5.490.000 ~ 8.513.000 KRW/kỳ,"D2-2:
TOPIK 3, IELTS 5.5 : Giảm 30% học phí 
TOPIK 4, IELTS 6.5 : Giảm 50% học phí 
TOPIK 5, IELTS 7.5 : Giảm 70% học phí 
TOPIK 6, IELTS 8.5 : Giảm 100% học phí
D2-3:
Sinh viên đạt TOPIK 5 trở lên hoặc có chứng chỉ TOEFL, TEPS, NewTEPS được giảm 40% học phí( Hệ thạc sĩ)
      
",Phòng 4 người: 728.000 ~~814.000 KRW; Phòng 2 người: 1.201.000~~ 1.569.000 KRW,"Làm nhà hàng, cửa hàng tiện lợi, dọn dẹp tại khu trung tâm cách trường 10 phút buýt."
ĐẠI HỌC SEJONG,세종대학교,"209, Neungdong-ro, Gwangjin-gu, Seoul, Hàn Quốc",21/200,"Hoạt họa, Nghệ thuật diễn xuất, Quản trị Du lịch & Khách sạn, Nhảy & Khiêu vũ","D4-1: GPA >= 6.6, trống < 3 năm; D2: GPA >= 6.5, không giới hạn năm trống",1.650.000 KRW/kỳ,4.445.000 ~ 6.085.000 KRW/kỳ,6.019.000 ~ 9.000.000 KRW/kỳ,"- Hệ đại học D2-2
+ TOPIK 3 được giảm 30% học phí kỳ đầu
+ TOPIK 4 được giảm 50% học phí kỳ đầu
+ TOPIK 5 được giảm 70% học phí kỳ đầu
+ TOPIK 6 được giảm 100% học phí kỳ đầu
 Hệ cao học D2-3
Topik 4: Giảm 20% học phí
Topik 5/ IELTS 5.5/ TOEFL 71 trở lên: giảm 30% học phí
",Hệ tiếng: 750.000 KRW/kỳ; Đại học/Cao học: ~1.600.000 KRW/6 tháng,"Nhiều cơ hội trong ngành dịch vụ, giáo dục, công nghệ tại khu vực Gwangjin và gần ga đại học Konkuk."
ĐẠI HỌC THẦN HỌC SEOUL,서울신학대학교,"52, Hohyun-ro 489th St, Sosa-gu Bucheon-si, Gyeonggi-do, Hàn Quốc",139/200,"Khoa sức khỏe y tế, Phúc lợi xã hội, Vật lý trị liệu","D4-1: GPA >= 7.5, trống < 2 năm; D2: GPA >= 6.5, không giới hạn năm trống",1.450.000 KRW/kỳ,3.350.000 ~ 4.350.000 KRW/kỳ,4.221.333 ~ 5.876.790 KRW/kỳ,"D2-2: Trợ cấp tối đa 50% học phí dựa trên GPA.
D2-3: Học bổng tân sinh viên lên đến 50%.",Hệ tiếng: 492.000 KRW/kỳ; Đại học/Cao học: 630.000 ~ 830.000 KRW/kỳ,"Di chuyển 20 phút bằng buýt ra đường lớn để làm nhà hàng, phụ bếp, dọn dẹp."
ĐẠI HỌC JOONGBU,중부대학교,Chungcheong Campus (Geumsan-gun) & Goyang Campus (Gyeonggi-do),115/200,"Luật cảnh sát, Thương mại quốc tế, Truyền thông, Quản lý y tế, Phần mềm game","D4-1: GPA >= 6.5, trống < 2 năm; D2: GPA >= 6.0, không giới hạn độ tuổi",1.100.000 KRW/kỳ,3.117.000 ~ 3.907.000 KRW/kỳ,2.345.000 ~ 4.644.000 KRW/kỳ,"- D4-1: Không có học bổng
- D2-2: 
Topik 2: Giảm 10% học phí
Topik 3: Giảm 20% học phí 
Topik 4: Giảm 30% học phí 
Topik 5: Giảm 50% học phí 
Topik 6: Giảm 60% học phí
- D2-3: 
Topik 2: Giảm 10% học phí
Topik 3: Giảm 20% học phí 
Topik 4: Giảm 30% học phí 
Topik 5: Giảm 40% học phí 
Topik 6: Giảm 50% học phí
",4 người/phòng (Chungcheong): 800.000 KRW/6 tháng; 2 người/phòng (Goyang): 1.900.000 KRW/6 tháng,"Cách trường 30 phút đi buýt có khu vực nhiều cửa hàng, quán ăn với cơ hội việc làm cao."
ĐẠI HỌC SUNMOON,선문대학교,"Asan Campus & Cheonan Campus, Chungcheongnam-do",57/200,"Tư vấn tâm lý, Truyền thông, Kinh doanh toàn cầu, Điều dưỡng, Công nghệ AI","D4-1: GPA >= 7.0, trống < 2 năm (không nhận miền Trung); D2: GPA >= 6.5, không giới hạn năm trống",1.300.000 KRW/kỳ,6.731.000 ~ 8.244.000 KRW/năm,2.908.000 ~ 5.391.000 KRW/kỳ," * D4-1: Không có học bổng
 * D2-2:
TOPIK 3 được giảm  50%, 
TOPIK 4 được giảm 55%, 
TOPIK 5 trở lên được giảm 60%.
*  D2-3:
 TOPIK 3 hoặc TOEFL (IBT 71, CBT 197, PBT 530), IELTS 5.5, TEPS 600 giảm 30% 
+ TOPIK 4 hoặc TOEFL (IBT 81, CBT 217, PBT 553), IELTS 6.5, TEPS 650 giảm 40%  
+ TOPIK 5 trở lên hoặc TOEFL (IBT 91, CBT 233, PBT 577), IELTS 7.0, TEPS 700 giảm 50% 
",Phòng 4 người (hệ tiếng): 804.600 KRW/kỳ; Phòng 2 người (đại học): 860.800 KRW/kỳ,"Trước cổng trường có nhiều cửa hàng, quán ăn. Thuận tiện đi lại bằng buýt và tàu điện."
ĐẠI HỌC KONYANG,건양대학교,Medical Campus (Daejeon) & Creative Fusion Campus (Nonsan),88/200,"Y dược, Khoa học y tế, Phúc lợi xã hội, Vật lý trị liệu",GPA >= 6.5; D4-1 trống < 3 năm; D2 không giới hạn năm trống,1.100.000 KRW/kỳ,2.950.000 ~ 3.910.000 KRW/kỳ,3.072.000 ~ 3.409.000 KRW/kỳ,"- Hệ D4-1: Không có
- Hệ đại học D2-2
Topik 3 miễn 30% học phí kỳ đầu, 
Topik 4 miễn 50% học phí kỳ đầu,
 Topik 5 miễn 100% học phí kỳ đầu,
 Topik 6 miễn 100% học phí năm đầu
- Hệ cao học D2-3
TOPIK 4 _ Giảm 50% học phí
TOPIK 3_ Giảm 30% học phí 
",Hệ tiếng: 910.000 KRW/kỳ; Đại học/Cao học: 710.000 ~ 1.590.000 KRW,"Khu vực thưa dân cư, nên di chuyển sang khu khác cách 1 tiếng để tìm việc."
ĐẠI HỌC INHA,인하대학교,"100 Inha-ro, Michuhol-gu, Incheon, Korea",14/200,"Khoa học tự nhiên và công nghệ, Kỹ thuật cơ khí, Kinh doanh","D4-1: GPA >= 6.8, trống < 2 năm (không nhận miền Trung); D2: GPA >= 6.5",1.400.000 KRW/kỳ,3.929.000 ~ 5.046.000 KRW/kỳ,5.470.000 ~ 8.958.000 KRW/kỳ,"Hệ D4-1: Không có
Hệ đại học D2-2: 
TOPIK 4 miễn 30% học phí kỳ đầu
TOPIK 5 miễn 50% học phí kỳ đầu
TOPIK 6 miễn 100% học phí năm đầu
",Hệ tiếng: 2.780.000 KRW (có cọc); Đại học: 1.180.300 KRW/kỳ; Cao học: 1.126.370 ~ 1.727.150 KRW,"Nằm ở thành phố công nghiệp, nhiều nhà hàng, ga tàu. Làm bốc dỡ, dọn dẹp, bưng bê."
ĐẠI HỌC NGOẠI NGỮ BUSAN,부산외국어대학교,"65 Geumsaem-ro 485 beon-gil, Geumjeong-gu, Busan, Hàn Quốc",69/200,"Ngôn ngữ (Anh, Pháp, Trung, Nhật...), Kinh tế, IT-Digital Media","D4-1: GPA >= 7.0, trống < 2 năm; D2: GPA >= 6.5, không giới hạn năm trống",1.300.000 KRW/kỳ,3.260.000 ~ 4.380.000 KRW/kỳ,4.181.000 ~ 6.081.000 KRW/kỳ,"- Hệ D4-1: Không có
- Hệ đại học D2-2:  
Có chứng chỉ TOPIK 6 hoặc IELTS 7.0, TOEFL 98 được giảm 60% học phí kỳ đầu tiên.
Có chứng chỉ TOPIK 5 hoặc IELTS 6.5, TOEFL 86 được giảm 50% học phí kỳ đầu tiên.
Có chứng chỉ TOPIK 4 hoặc IELTS 6.0, TOEFL 69 được giảm 40% học phí kỳ đầu tiên. 
Có chứng chỉ TOPIK 3 hoặc IELTS 5.5, TOEFL 53 được giảm 30% học phí kỳ đầu tiên.
",Trong trường: 1.433.000 KRW/5.5 tháng; Ngoài trường (nữ): 1.169.000 ~ 1.489.000 KRW/5.5 tháng,"Vị trí thuận lợi tại Busan, nhiều việc tại quán ăn và cửa hàng tiện lợi."
ĐẠI HỌC CHUNGANG,중앙대학교,"84 Heukseok-ro, Dongjak-gu, Seoul, Hàn Quốc",11/200,"Quản trị Kinh doanh, Truyền thông, Kỹ thuật cơ sở hạ tầng","D4-1: GPA >= 7.0, trống < 2 năm; D2: GPA >= 6.5, không giới hạn năm trống",1.500.000 (Anseong) - 1.700.000 (Seoul) KRW/kỳ,4.648.000 ~ 7.504.000 KRW/kỳ,6.407.000 ~ 10.207.000 KRW/kỳ,"- Hệ D4-1: Không có
- Hệ đại học D2-2
 Topik 6 : Giảm 100% học phí
- Hệ cao học D2-3
TOPIK 6 hoặc có TOEFL 91(IBT) / TOEIC 780 / IELTS 6.5 : Giảm 100% học phí học kỳ đầu
+ TOPIK 5 trở lên: Miễn 70% học phí
",Hệ tiếng: 700.000 ~ 800.000 KRW/kỳ; Đại học/Cao học: 952.000 ~ 1.490.000 KRW/16 tuần,"Trung tâm Seoul, nhiều việc đa dạng như quán ăn, cửa hàng tiện lợi."
ĐẠI HỌC NỮ SINH DUKSUNG,덕성여자대학교,"33 Samyang-ro 144-gil, Dobong-gu, Seoul, Hàn Quốc",95/200,"Sư phạm mầm non, Dược, Tâm lý, Thực phẩm & dinh dưỡng","D4-1: GPA >= 7.0, trống < 2 năm; D2: GPA >= 6.5, không giới hạn năm trống",1.500.000 KRW/kỳ,3.220.000 ~ 4.402.000 KRW/kỳ,4.284.000 ~ 6.002.000 KRW/kỳ,"- Hệ D4-1: Không có
- Hệ đại học D2-2 
TOPIK 3 miễn 30% học phí kỳ đầu + 50% phí ký túc xá 1 năm
TOPIK 4 miễn 70% học phí kỳ đầu + 50% phí ký túc xá 1 năm
TOPIK 5 trở lên miễn 100% học phí kỳ đầu + 50% phí ký túc xá 1 năm
- Hệ cao học D2-3
Chưa có TOPIK 3 được giảm 30% học phí (bao gồm phí nhập học)
TOPIK 3 được giảm 40% học phí (bao gồm phí nhập học)
TOPIK 4 được giảm 50% học phí (bao gồm phí nhập học)
TOPIK 5 được giảm 60% học phí (bao gồm phí nhập học)
TOPIK 6 được giảm 70% học phí (bao gồm phí nhập học)
",Hệ tiếng: 783.000 ~ 1.089.000 KRW/3 tháng; Đại học/Cao học: 882.000 ~ 1.305.000 KRW/kỳ,"Khu dân cư ít việc, nên di chuyển vào trung tâm thành phố (mất 1 tiếng) để tìm việc."
