STT,Hạng mục,Thông tin chi tiết
1,Tên trường,ĐẠI HỌC AJOU (아주대학교)
2,Địa chỉ,"206 Woldeukeom-ro, Woncheon-dong, Yeongtong-gu, Suwon, Gyeonggi-do, Hàn Quốc"
3,Top Visa,Top 2
4,Ranking,15/200 trường đại học tại Hàn Quốc
5,Học phí,"• D4-1: 1.450.000 KRW/kỳ (Phí apply: 100k KRW)

• D2-2: 3.736.000 - 4.845.000 KRW/kỳ (Phí apply: 150k KRW)

• D2-3: 2.600.000 - 4.038.000 KRW/kỳ (Phí nhập học: 900k KRW)"
6,Phí KTX,"• Phòng 4: 747.000 KRW

• Phòng 2: 1.102.000 KRW

• Phòng 2 (Quốc tế): 1.440.000 KRW"
7,Hệ tuyển sinh,"D4-1 (Tiếng), D2-2 (Đại học), D2-3 (Sau đại học)"
8,Chuyên ngành,"• Thế mạnh: Kỹ thuật, IT, Truyền thông, Y (không nhận SV quốc tế), Khoa học tự nhiên.

• Khác: QTKD, Luật, Nhân văn, Xã hội, An ninh mạng..."
9,Học bổng,"• D4-1: Giảm 50-100% học phí cho SV xuất sắc hoặc gia đình Ajou.

• D2-2: Giảm 30-100% dựa trên TOPIK (3-6) hoặc IELTS (5.5-8.5).

• D2-3: Giảm 40% (Thạc sĩ), 80% (Tiến sĩ) nếu có TOPIK 5+"
10,Điều kiện tuyển sinh,"• D4-1: GPA ≥ 7.0, trống < 2 năm.

• D2-2/D2-3: GPA ≥ 6.5, không giới hạn năm trống.

• Vùng miền: Tuyển cả nước."
11,Điều kiện tài chính,"• D4-1: Sổ 10.000 USD lùi 6 tháng.

• D2-2/D2-3: Sổ 20.000.000 KRW lùi 3 tháng."
12,Đón học viên,Hỗ trợ đón sinh viên Việt Nam tại sân bay về trường
13,Chính sách hoàn tiền,"Linh hoạt: Hoàn về TK học viên, trung tâm hoặc người ủy quyền tại Hàn/Việt"
14,Chính sách hỗ trợ,"Hỗ trợ làm CCCD người nước ngoài, thẻ SIM, chuyển đổi visa lên chuyên ngành"
15,Yêu cầu đặc biệt,Không
16,Hình thức xét tuyển,Xét hồ sơ + Phỏng vấn
17,Việc làm thêm,"Khu trung tâm, nhiều quán ăn (cách 10' bus). Công việc: Nhà hàng, cửa hàng tiện lợi, dọn dẹp..."
